DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.019;0.007;-0.001
40;-0.019;0.007;-0.001
80;-0.004;0.009;0.002
100;-0.005;0.006;0.002
140;0.002;0.006;0.002
180;-0.001;0.002;0.002
220;-0.001;0.000;-0.001
260;0.003;-0.001;-0.002
300;0.004;-0.001;-0.003
340;0.001;-0.004;0.000
380;0.004;-0.008;-0.007
420;0.001;-0.009;-0.003
460;0.007;-0.003;-0.001
500;0.005;-0.003;-0.001
520;0.005;-0.001;0.000
560;0.007;0.001;0.003
600;0.004;0.005;0.001
640;0.001;0.000;-0.001
680;0.002;0.002;-0.004
720;0.004;-0.002;-0.004
760;0.005;-0.004;-0.005
800;0.026;-0.013;-0.008
840;0.020;0.000;0.002
880;0.011;0.009;-0.001
920;0.015;0.005;0.001
960;0.011;0.006;0.001
1000;-0.012;0.007;-0.002
1040;-0.012;0.012;-0.004
1080;-0.015;-0.015;-0.003
1120;-0.004;-0.004;-0.004
1160;-0.007;0.002;-0.003
1200;-0.032;0.006;0.001
1240;-0.032;0.009;0.007
1280;-0.020;0.015;0.007
1320;-0.025;0.013;0.009
1360;-0.004;0.023;0.006
1400;-0.006;0.018;0.006
1440;-0.011;0.021;0.009
1480;0.004;0.018;0.005
1520;0.014;0.018;0.004
1560;0.005;0.013;0.005
1600;0.024;0.004;-0.004
1640;0.037;-0.004;-0.009
1680;0.022;-0.018;-0.010
1720;0.016;-0.016;-0.013
1760;0.005;-0.001;-0.010
1800;-0.002;0.002;-0.006
1840;-0.001;-0.003;-0.002
1880;0.005;0.001;-0.002
1920;-0.001;-0.004;-0.004
1960;0.002;0.002;0.002
2000;-0.010;-0.008;0.004
2040;-0.009;-0.003;0.007
2080;-0.007;-0.009;0.013
2120;-0.013;0.008;0.013
2160;-0.014;0.006;0.013
2200;-0.086;0.028;0.013
2240;-0.076;-0.011;0.024
2280;-0.045;-0.036;0.027
2320;0.013;-0.017;0.023
2360;-0.004;-0.012;0.018
2400;-0.001;0.020;0.021
2440;0.006;0.047;0.021
2480;0.001;0.056;0.014
2520;-0.020;0.036;-0.001
2560;-0.011;-0.001;-0.005
2600;-0.022;-0.030;-0.009
2640;-0.010;-0.020;-0.015
2680;0.007;-0.003;-0.004
2720;0.011;0.000;-0.002
2760;0.017;0.028;-0.008
2800;0.024;0.031;-0.003
2840;0.055;0.024;-0.012
2880;0.073;-0.009;-0.021
2920;0.072;-0.009;-0.026
2960;0.046;-0.007;-0.024
3000;0.037;-0.011;-0.015
3040;0.033;0.004;-0.012
3080;0.021;0.006;-0.006
3120;0.023;0.012;-0.006
3160;0.034;0.021;-0.003
3200;0.029;0.018;0.002
3240;0.023;0.012;0.002
3280;0.020;0.009;0.002
3320;0.015;0.009;0.000
3360;0.016;0.002;0.001
3400;0.016;0.001;-0.001
3440;0.011;-0.002;0.001
3480;0.007;0.002;-0.001
3520;0.003;0.005;0.000
3540;0.002;0.006;0.001
3580;-0.005;0.002;0.002
3620;-0.010;0.004;0.000
3660;-0.012;0.004;-0.002
3700;-0.009;0.004;0.000
3740;-0.006;0.002;-0.001
3780;-0.005;0.002;-0.001
3820;-0.004;0.000;-0.002
3860;-0.001;0.003;-0.003
3900;-0.002;0.004;-0.002
3940;-0.002;0.002;-0.003
3980;-0.001;-0.001;-0.002
4020;-0.001;0.004;-0.004
4040;-0.001;0.006;-0.003
4080;-0.004;0.006;-0.002
4120;-0.006;0.006;0.001
4160;-0.009;0.000;0.010
4200;-0.013;-0.003;0.015
4240;-0.018;-0.010;0.025
4280;-0.030;-0.031;0.038
4320;-0.028;-0.010;0.019
4360;-0.093;0.002;0.003
4400;-0.178;-0.013;0.008
4440;-0.250;-0.004;-0.005
4480;-0.396;0.014;-0.008
4520;-0.490;0.029;-0.005
4560;-0.612;-0.002;-0.007
4600;-0.755;-0.037;0.006
4640;-0.910;-0.046;0.031
4680;-1.040;-0.078;0.052
4720;-1.156;-0.059;0.080
4760;-1.324;-0.093;0.122
4800;-1.354;-0.086;0.138
4840;-1.287;0.025;0.136
4880;-1.387;-0.003;0.152
4920;-1.351;0.101;0.079
4960;-1.403;0.249;0.057
5000;-1.470;0.149;-0.035
5040;-1.343;0.079;0.004
5080;-0.803;0.156;0.090
5120;-0.504;0.087;0.051
5160;-0.249;0.068;0.045
5200;-0.042;0.053;0.013
5240;0.114;0.054;-0.062
5280;0.297;0.019;-0.016
5320;0.533;-0.052;0.012
5360;0.684;-0.065;0.002
5400;0.836;-0.063;0.016
5440;0.922;-0.057;-0.018
5480;0.935;-0.127;-0.036
5520;0.852;-0.263;-0.145
5560;0.852;-0.333;-0.214
5600;0.865;-0.438;-0.235
5640;0.935;-0.500;-0.187
5680;1.024;-0.418;-0.197
5720;1.090;-0.276;-0.181
5760;1.180;0.005;-0.117
5800;1.123;0.210;-0.115
5840;0.967;0.265;-0.158
5880;0.877;0.479;-0.150
5920;0.886;0.370;-0.187
5960;0.625;0.235;-0.207
6000;0.204;-0.340;-0.183
6040;0.530;-0.407;-0.198
6080;0.455;0.223;0.090
6120;0.291;0.124;-0.043
6160;0.035;0.217;-0.050
