DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.001;0.016;-0.001
40;-0.001;0.016;-0.001
80;0.001;0.004;-0.005
120;0.000;0.009;-0.004
160;0.000;0.009;-0.004
200;0.002;0.014;-0.002
240;0.005;0.015;0.000
280;0.008;0.013;-0.001
320;0.005;0.013;-0.002
360;0.001;0.015;-0.002
400;0.001;0.015;-0.002
440;0.004;0.016;0.001
480;0.021;0.012;0.005
520;0.028;0.012;0.001
560;0.022;0.010;-0.001
600;0.013;0.003;0.000
640;0.001;0.005;0.002
680;-0.004;0.003;-0.002
720;0.000;0.002;0.001
760;0.001;-0.003;0.002
780;0.002;-0.004;-0.001
820;0.001;-0.005;-0.010
860;-0.004;-0.002;-0.012
900;-0.007;-0.001;-0.010
940;-0.009;0.002;-0.015
980;-0.010;0.007;-0.012
1020;-0.010;-0.002;-0.015
1060;-0.009;-0.001;-0.011
1100;-0.010;0.005;-0.010
1140;-0.013;0.013;-0.009
1180;-0.018;0.016;-0.009
1220;-0.021;0.019;-0.007
1240;-0.025;0.018;-0.003
1280;-0.013;0.011;-0.005
1320;0.005;0.001;-0.001
1360;0.004;-0.007;-0.006
1380;0.003;-0.011;-0.008
1420;-0.001;-0.015;-0.007
1460;-0.003;-0.004;-0.004
1500;-0.004;0.006;-0.002
1540;0.001;0.009;-0.002
1580;0.006;0.009;-0.003
1620;0.011;0.007;-0.005
1660;0.012;0.004;-0.005
1700;0.010;0.001;-0.004
1740;0.008;0.001;-0.002
1780;0.009;-0.001;-0.001
1820;0.009;-0.002;-0.001
1860;0.010;-0.003;0.001
1900;0.009;0.001;0.001
1940;0.009;-0.003;0.000
1980;0.007;0.002;-0.002
2020;0.006;0.001;-0.002
2060;0.007;0.005;-0.001
2100;0.007;0.002;-0.003
2140;0.008;0.004;-0.004
2180;0.001;0.001;-0.001
2220;0.002;0.002;0.000
2260;0.002;0.005;0.005
2300;0.004;-0.001;0.005
2340;0.003;-0.002;0.003
2380;0.003;0.001;0.003
2420;0.002;0.001;0.004
2460;0.006;0.002;0.002
2500;0.005;0.001;-0.002
2540;0.009;0.005;0.001
2580;0.010;0.009;0.004
2620;0.006;0.010;0.004
2660;0.005;0.013;0.004
2700;0.003;0.009;0.007
2740;0.003;0.008;0.006
2780;0.002;0.007;0.005
2820;-0.002;0.007;0.007
2860;-0.002;0.007;0.006
2900;-0.004;0.008;0.007
2940;-0.004;0.007;0.009
2980;-0.002;0.007;0.006
3020;-0.001;0.007;0.006
3060;-0.003;0.007;0.004
3100;-0.005;0.009;0.004
3140;-0.004;0.009;0.004
3180;0.000;0.007;0.004
3220;-0.002;0.008;0.003
3260;-0.005;0.000;-0.002
3300;-0.009;0.002;-0.002
3340;-0.006;-0.002;-0.004
3380;-0.008;-0.004;-0.008
3420;-0.008;-0.003;-0.006
3460;-0.008;-0.005;-0.006
3500;-0.009;-0.005;-0.007
3540;-0.010;-0.005;-0.006
3580;-0.008;-0.006;-0.007
3620;-0.006;-0.007;-0.009
3660;-0.005;-0.007;-0.006
3700;-0.004;-0.007;-0.008
3740;-0.004;-0.009;-0.009
3780;-0.003;-0.009;-0.007
3820;-0.001;-0.010;-0.008
