DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.049;0.000;-0.003
40;-0.049;0.000;-0.003
80;-0.007;0.024;0.021
120;-0.001;0.034;0.015
160;-0.007;0.047;0.005
200;0.003;0.029;0.006
240;0.001;0.007;0.005
280;0.002;0.009;-0.001
320;0.008;0.010;0.001
360;0.007;0.000;0.005
400;0.004;0.002;0.000
440;-0.002;0.002;0.000
480;-0.007;-0.007;0.004
520;-0.004;0.001;0.003
540;-0.006;0.001;0.001
580;-0.004;-0.006;0.001
620;-0.009;0.008;0.001
640;-0.001;0.004;-0.002
680;0.001;0.009;0.002
720;0.009;-0.003;0.004
760;0.004;0.004;0.001
800;0.005;-0.007;-0.002
840;0.008;0.004;0.004
880;0.005;-0.003;0.002
920;-0.006;0.007;0.003
960;-0.004;-0.001;0.005
1000;-0.001;-0.002;0.003
1040;0.002;-0.004;0.003
1060;0.003;-0.004;0.003
1100;0.005;-0.004;0.002
1140;0.000;-0.004;0.000
1180;0.000;-0.002;0.001
1220;0.000;0.001;0.003
1260;-0.007;0.003;0.002
1300;-0.005;0.000;0.002
1340;-0.005;0.000;0.003
1380;-0.010;-0.001;0.004
1420;-0.011;0.002;0.004
1440;-0.013;0.003;0.003
1480;-0.012;-0.003;0.004
1520;-0.007;0.000;0.003
1560;-0.007;-0.002;-0.001
1600;-0.002;0.002;0.001
1640;-0.017;0.001;0.001
1680;-0.038;0.002;0.001
1720;-0.072;0.007;0.007
1760;-0.070;0.010;-0.005
1780;-0.065;0.012;-0.006
1820;-0.048;0.008;-0.001
1860;-0.067;-0.008;0.001
1900;-0.114;0.000;0.003
1920;-0.154;0.003;0.006
1960;-0.299;0.001;0.025
2000;-0.422;-0.008;0.042
2040;-0.523;0.018;0.019
2080;-0.657;0.007;0.027
2120;-0.756;-0.019;0.053
2160;-0.832;-0.014;0.048
2200;-0.943;0.003;0.067
2240;-1.077;-0.096;0.117
2260;-1.265;-0.255;0.170
2300;-1.390;-0.047;0.041
2340;-1.133;0.081;0.024
2380;-0.839;-0.081;0.148
2420;-0.569;-0.064;0.075
2460;-0.323;-0.029;0.173
2500;-0.203;0.018;0.269
2540;-0.054;0.150;0.315
2580;0.096;0.177;0.399
2600;0.208;0.155;0.383
2640;0.305;0.279;0.352
2680;0.473;0.419;0.330
2720;0.556;0.566;0.288
2760;0.608;0.697;0.250
2800;0.659;0.767;0.125
2840;0.642;0.600;-0.014
2880;0.735;0.220;-0.181
2900;0.591;0.115;-0.152
2940;0.486;0.112;0.003
2980;0.278;0.260;0.134
3020;0.308;0.213;0.085
3060;0.320;0.032;-0.049
3100;0.290;0.008;-0.089
3140;0.286;0.115;-0.065
3180;0.362;0.343;-0.024
3220;0.492;0.564;-0.080
3260;0.759;0.604;-0.062
3300;1.007;0.359;0.060
3320;1.280;0.126;0.239
3360;1.214;-0.605;0.475
3400;0.829;-0.371;0.076
3440;0.453;0.412;0.159
3480;0.100;0.784;0.428
3520;0.014;0.253;0.210
3560;-0.029;-0.153;-0.178
3600;-0.086;-0.213;-0.184
3640;-0.138;-0.260;-0.081
3680;-0.101;-0.336;-0.063
3720;-0.037;-0.409;-0.074
3760;-0.005;-0.476;-0.003
3800;0.014;-0.425;0.027
3840;-0.037;-0.335;0.028
3880;0.057;-0.248;0.011
3920;0.165;-0.197;-0.082
3960;0.035;0.047;-0.437
4000;0.660;0.528;-0.324
4040;0.274;-0.370;-0.119
4080;-0.235;-0.291;-0.282
4120;-0.149;-0.494;-0.468
4160;-0.193;-0.085;-0.082
4200;-0.140;0.032;0.298
4240;-0.193;-0.056;0.180
4280;-0.195;0.054;0.013
4320;-0.191;0.125;0.024
4360;-0.146;0.307;0.010
4400;-0.075;0.309;-0.084
4440;0.128;0.227;-0.087
4480;0.232;0.185;0.009
4520;0.290;0.081;0.072
4560;0.699;0.208;0.003
4600;0.651;0.371;0.197
4620;0.375;-0.036;0.660
4660;0.184;-0.349;0.597
4700;0.260;0.257;0.354
4720;0.122;0.213;0.415
4760;-0.168;-0.083;0.147
4800;-0.005;-0.674;-0.244
4840;-0.108;-1.023;-0.307
4860;-0.176;-0.974;-0.272
4900;-0.265;-1.007;-0.213
4940;-0.238;-1.047;-0.046
4960;-0.226;-1.079;0.046
5000;-0.120;-1.144;0.092
5040;-0.112;-1.151;0.026
5080;-0.184;-0.966;-0.035
5120;0.014;-0.806;-0.067
5160;-0.179;-0.985;-0.117
5180;-0.466;-1.131;-0.200
5220;-0.104;-0.786;-0.474
5260;-0.080;-1.007;-0.431
5280;-0.189;-1.319;-0.384
5320;-0.473;-1.637;-0.448
5360;-0.354;-1.459;-0.492
5400;-0.217;-1.070;-0.146
5440;-0.243;-0.989;0.075
5480;-0.192;-1.111;-0.093
5520;-0.148;-1.214;-0.195
5540;-0.166;-1.266;-0.261
5580;-0.132;-1.193;-0.337
5620;-0.016;-0.998;-0.334
5640;-0.003;-0.972;-0.326
5680;-0.038;-0.910;-0.311
5720;0.005;-0.883;-0.294
5760;0.103;-1.010;-0.261
5780;0.174;-1.002;-0.260
5820;0.139;-1.024;-0.156
5860;0.466;-1.330;0.120
5900;0.415;-1.026;-0.034
5940;0.233;-0.855;-0.020
5980;-0.091;-0.828;0.274
6020;-0.214;-1.395;0.097
6060;-0.120;-2.027;-0.440
6100;-0.114;-2.022;-0.431
6140;-0.315;-2.119;-0.254
6160;-0.376;-2.166;-0.255
6200;-0.352;-2.173;-0.371
6240;-0.268;-2.210;-0.333
6280;-0.257;-2.122;-0.167
6320;-0.230;-2.019;-0.079
6360;-0.276;-2.046;-0.068
6400;-0.084;-1.967;-0.187
6440;0.147;-1.870;-0.192
6480;-0.314;-1.938;-0.046
6520;-0.483;-1.495;-0.485
6560;-0.071;-1.498;-0.497
6600;-0.151;-2.044;-0.437
6640;-0.402;-1.867;-0.381
6680;-0.197;-1.450;-0.195
6720;-0.293;-1.156;-0.024
6760;-0.300;-1.192;0.015
6800;-0.183;-1.269;-0.154
6840;-0.125;-1.277;-0.319
6880;-0.067;-1.116;-0.295
6920;0.012;-1.028;-0.290
6960;0.029;-0.890;-0.315
7000;0.052;-0.631;-0.296
7040;0.059;-0.529;-0.185
7080;0.139;-0.524;-0.209
7120;0.140;-0.654;-0.184
7160;0.079;-0.972;0.101
7200;0.249;-1.302;0.172
7240;0.564;-1.024;-0.067
7280;0.450;-0.374;-0.077
7320;0.082;0.045;0.177
7360;-0.061;-0.205;0.318
7400;0.038;-0.560;-0.105
7440;0.112;-0.491;-0.356
7480;-0.014;-0.467;-0.213
7520;-0.112;-0.377;-0.079
7560;-0.057;-0.412;-0.144
