DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.122;-0.155;-0.007
40;0.122;-0.155;-0.007
80;0.026;0.040;0.006
120;0.001;-0.009;0.005
160;-0.045;-0.003;0.006
200;-0.012;0.016;0.003
240;0.036;-0.008;0.001
280;0.010;0.010;-0.002
320;-0.006;-0.016;-0.003
360;-0.026;-0.002;-0.005
400;0.009;-0.007;-0.001
440;0.002;0.001;-0.004
460;0.000;0.018;-0.005
500;-0.017;0.002;-0.001
520;-0.020;-0.001;-0.001
560;-0.008;-0.002;-0.001
600;-0.018;-0.001;-0.001
640;-0.016;-0.005;0.000
680;-0.024;-0.004;0.001
720;-0.029;0.003;0.004
760;-0.035;-0.001;0.001
800;-0.038;0.011;0.003
840;-0.033;0.004;0.004
860;-0.030;0.015;0.001
900;-0.021;0.005;0.002
940;-0.009;0.008;0.000
980;-0.019;-0.001;0.000
1000;-0.022;-0.002;-0.001
1040;-0.012;-0.001;0.001
1080;-0.011;-0.004;-0.003
1120;-0.011;-0.003;0.000
1160;-0.018;-0.005;0.001
1200;-0.009;-0.007;-0.001
1240;0.018;0.005;0.001
1280;0.027;-0.003;-0.005
1320;0.009;-0.009;-0.003
1340;0.005;-0.011;0.000
1380;-0.001;-0.005;-0.005
1420;0.015;0.000;-0.002
1460;0.017;0.005;-0.001
1500;0.004;-0.011;-0.002
1540;0.005;-0.002;0.000
1580;0.019;-0.009;-0.001
1620;0.006;-0.005;0.000
1660;0.004;-0.010;0.001
1700;0.008;-0.004;0.003
1740;0.002;-0.009;0.000
1780;-0.001;-0.003;0.002
1820;0.009;0.007;0.003
1860;-0.004;0.002;0.001
1900;-0.002;0.001;0.001
1940;0.002;-0.001;0.000
1980;0.007;0.004;0.000
2020;-0.002;-0.003;0.004
2060;-0.007;-0.005;-0.001
2100;-0.004;-0.003;0.002
2140;-0.005;-0.004;-0.001
2180;-0.022;-0.003;0.002
2220;-0.006;-0.002;0.001
2260;0.007;0.007;-0.002
2300;0.005;0.000;-0.002
2340;-0.020;-0.004;-0.003
