DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.330;-0.176;-0.337
40;0.330;-0.176;-0.337
80;-0.010;0.010;0.005
120;-0.016;-0.001;0.010
160;-0.023;-0.001;0.013
200;-0.018;-0.016;0.013
240;-0.009;-0.022;0.011
280;-0.010;-0.026;0.011
320;-0.012;-0.023;0.004
360;-0.016;-0.023;0.005
400;-0.010;-0.025;0.002
440;0.001;-0.016;-0.002
480;0.010;0.001;-0.003
520;0.015;0.016;-0.002
560;0.021;0.019;-0.009
600;0.012;0.009;-0.007
640;0.009;-0.024;-0.001
680;0.011;-0.038;-0.002
720;0.057;-0.044;-0.005
760;0.068;-0.039;-0.005
800;0.070;-0.009;-0.001
840;0.067;0.009;-0.006
880;0.060;0.004;0.002
920;0.026;0.000;-0.007
960;0.000;-0.005;-0.004
1000;-0.037;-0.021;0.007
1040;-0.044;-0.020;-0.001
1080;-0.052;-0.015;0.000
1120;-0.069;-0.001;-0.003
1160;-0.071;0.029;-0.012
1200;-0.074;0.010;-0.010
1240;-0.073;-0.035;-0.004
1280;-0.079;-0.037;0.008
1320;-0.076;-0.039;0.010
1360;-0.063;-0.010;-0.009
1400;-0.056;0.012;0.001
1440;-0.042;0.011;-0.001
1480;-0.031;0.024;0.002
1520;-0.020;0.013;-0.004
1560;-0.009;0.005;-0.004
1600;0.009;-0.009;0.005
1640;0.002;-0.017;-0.009
1680;0.006;-0.006;0.008
1720;0.037;0.019;0.001
1760;0.043;0.014;0.000
1800;0.052;-0.006;-0.011
1840;0.059;-0.015;-0.002
1880;0.066;-0.006;-0.004
1920;0.070;-0.002;-0.007
1960;0.063;0.007;-0.014
2000;0.053;0.017;-0.015
2040;0.045;0.011;-0.010
2080;0.044;0.001;-0.011
2120;0.042;-0.007;-0.009
2160;0.047;-0.023;-0.007
2200;0.042;-0.023;-0.005
2240;0.033;-0.015;-0.001
2280;0.032;-0.003;-0.001
2320;0.030;0.012;0.000
2360;0.031;0.022;-0.001
2400;0.031;0.020;-0.001
2440;0.028;0.015;0.000
2480;0.020;0.011;0.004
2520;0.015;0.005;0.005
2560;0.009;-0.005;0.009
2600;0.009;-0.008;0.009
2640;-0.007;-0.003;0.012
2680;-0.012;-0.013;0.008
2720;-0.005;-0.010;0.009
2760;-0.009;0.002;0.005
2800;-0.003;0.004;0.004
2840;-0.006;0.003;0.002
2860;-0.005;0.004;0.001
2900;-0.004;0.003;0.002
2940;-0.001;0.001;0.001
2980;0.002;0.001;0.000
3020;0.002;0.001;0.001
3060;0.008;-0.001;-0.001
3100;0.019;-0.018;0.001
3140;-0.045;-0.016;-0.004
3180;-0.103;-0.016;-0.021
3220;-0.227;0.071;-0.031
3260;-0.381;0.140;-0.001
3300;-0.491;0.075;0.024
3340;-0.646;0.034;0.032
3380;-0.834;0.021;0.023
3420;-1.059;-0.026;0.037
3460;-1.329;0.007;0.016
3500;-1.543;0.084;0.002
3540;-1.640;0.090;-0.007
3580;-1.753;0.023;-0.024
3620;-1.679;-0.062;0.015
3660;-1.801;-0.167;0.037
3700;-1.707;-0.250;0.002
3740;-1.374;-0.290;0.001
3780;-1.096;-0.173;0.037
3820;-0.806;-0.070;0.015
3860;-0.478;0.004;0.033
3900;-0.177;0.076;0.043
3940;0.141;0.122;-0.001
3980;0.496;0.128;-0.035
