DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.038;0.004;-0.002
40;-0.038;0.004;-0.002
80;-0.020;0.003;0.002
120;0.015;0.004;0.001
160;0.008;0.005;0.002
200;-0.007;0.004;-0.002
240;0.000;0.000;0.003
280;0.001;0.002;0.001
320;0.002;0.001;0.004
360;-0.003;-0.002;0.004
400;-0.001;0.000;0.002
440;-0.006;0.002;0.002
480;-0.005;-0.001;0.002
520;-0.008;0.001;0.001
560;-0.009;0.001;0.002
600;-0.010;0.001;0.001
620;-0.007;0.002;0.001
660;-0.004;0.001;0.001
700;-0.006;0.004;0.002
740;-0.006;0.004;0.002
780;-0.005;-0.001;0.002
820;0.001;0.001;0.001
840;-0.001;-0.001;-0.001
880;-0.005;0.001;0.001
920;0.004;-0.002;-0.001
960;0.004;0.001;-0.002
1000;0.009;0.002;-0.002
1040;0.009;0.003;-0.001
1080;0.010;0.001;-0.003
1120;0.004;-0.001;-0.001
1160;0.008;-0.006;-0.001
1200;0.007;-0.003;0.001
1240;0.012;-0.009;0.001
1260;0.015;-0.013;-0.001
1300;0.018;-0.012;0.001
1340;0.028;-0.010;-0.004
1360;0.031;-0.010;-0.005
1400;0.032;-0.003;-0.002
1440;0.042;-0.001;-0.009
1460;0.048;0.001;-0.010
1500;0.055;0.002;-0.012
1540;0.062;0.002;-0.018
1580;0.073;0.006;-0.018
1620;0.083;0.009;-0.019
1660;0.092;0.001;-0.022
1700;0.101;-0.004;-0.024
1740;0.108;-0.005;-0.024
1760;0.111;-0.005;-0.024
1800;0.106;-0.005;-0.021
1840;0.124;-0.019;-0.023
1880;0.122;-0.027;-0.023
1920;0.133;-0.033;-0.029
1960;0.145;-0.034;-0.021
2000;0.153;-0.031;-0.017
2040;0.158;-0.018;-0.023
2080;0.159;-0.015;-0.021
2120;0.159;-0.001;-0.021
2160;0.162;0.016;-0.014
2200;0.133;0.064;-0.002
2240;0.045;0.093;0.032
2260;0.034;0.056;0.049
2300;0.007;0.004;0.048
2340;-0.112;0.035;0.046
2380;-0.123;0.052;0.065
2420;-0.059;0.025;0.088
2460;-0.239;0.051;0.076
2480;-0.340;0.028;0.050
2520;-0.484;0.064;0.031
2560;-0.687;0.126;0.003
2600;-0.798;0.046;-0.068
2640;-0.734;0.118;0.079
2680;-0.783;0.036;0.081
2720;-1.022;0.154;0.016
2760;-1.381;0.186;-0.023
2800;-1.482;0.150;0.007
2840;-1.524;0.067;-0.098
2880;-1.516;0.143;0.070
2920;-1.474;0.269;0.106
2960;-1.390;0.091;-0.010
3000;-0.520;0.511;0.004
3040;-0.541;0.249;0.097
3080;-0.207;0.368;0.188
3120;-0.096;0.327;0.215
3160;0.016;0.343;0.244
3200;0.092;0.243;0.233
3220;0.129;0.224;0.241
3260;0.180;0.211;0.248
3300;0.252;0.161;0.213
3340;0.337;0.164;0.206
3380;0.450;0.134;0.225
3420;0.624;0.054;0.218
3460;0.735;0.027;0.177
3500;0.814;0.015;0.098
3540;0.824;0.002;0.010
3580;0.838;-0.050;-0.040
3620;0.777;-0.164;-0.067
3660;0.741;-0.203;-0.040
3700;0.631;0.081;-0.128
3740;0.459;-0.027;-0.099
3780;0.297;-0.112;-0.098
3820;0.251;0.082;0.001
3860;0.249;0.199;-0.018
3900;0.317;0.517;-0.070
3920;0.298;0.523;-0.101
3960;0.301;0.428;-0.115
4000;0.328;0.374;-0.096
4040;0.288;0.622;-0.006
4080;0.348;0.768;0.012
4100;0.323;0.376;0.090
4140;0.536;0.111;0.140
