DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.015;0.035;0.009
40;-0.015;0.035;0.009
80;-0.003;0.001;0.008
120;0.004;-0.007;0.005
160;0.008;-0.015;0.005
200;0.003;0.001;0.009
240;-0.008;0.026;0.013
280;0.010;-0.001;0.008
320;0.009;0.002;0.004
360;0.005;-0.003;0.002
380;0.007;-0.009;0.003
420;0.012;-0.001;0.004
460;0.011;0.005;0.002
500;0.011;0.001;-0.001
540;0.009;0.005;-0.002
580;0.009;0.003;-0.002
620;0.004;0.005;-0.004
660;0.001;-0.001;-0.003
700;0.002;0.008;-0.002
740;-0.001;-0.007;-0.004
780;-0.004;0.004;-0.001
820;-0.003;0.004;-0.003
860;-0.010;0.005;-0.002
900;-0.010;0.007;-0.005
940;-0.010;0.012;-0.005
980;-0.011;0.017;0.000
1000;-0.015;0.017;-0.002
1040;-0.007;0.012;0.000
1080;-0.010;0.003;0.001
1120;-0.002;0.006;0.002
1160;0.005;0.004;0.003
1180;0.005;0.004;0.003
1220;0.011;-0.003;0.004
1260;0.011;-0.010;0.007
1300;0.010;-0.005;0.004
1340;0.013;-0.004;0.001
1380;0.013;-0.010;0.002
1420;0.015;-0.005;0.005
1440;0.012;-0.004;0.004
1480;0.007;-0.003;0.004
1520;0.004;-0.001;0.005
1560;0.003;-0.004;0.002
1600;0.004;0.000;0.005
1640;0.001;-0.003;0.002
1680;-0.002;0.002;0.004
1720;0.001;-0.010;0.006
1760;0.007;-0.006;0.005
1800;0.005;-0.007;0.004
1840;0.007;0.001;0.001
1880;0.009;-0.004;0.003
1920;0.009;-0.004;0.004
1960;0.008;-0.003;-0.001
2000;0.009;-0.005;0.000
2040;0.009;0.004;-0.002
2060;0.008;-0.001;-0.004
2100;0.005;0.004;-0.005
2140;0.004;0.001;-0.004
2180;-0.002;0.001;-0.004
2220;0.000;0.002;-0.004
2260;-0.005;0.006;-0.005
2300;-0.007;0.003;-0.004
2340;-0.008;-0.004;-0.004
2360;-0.014;-0.005;-0.005
2400;-0.022;-0.001;-0.006
2440;-0.031;-0.001;-0.004
2480;-0.028;0.001;-0.004
2520;-0.022;0.001;-0.004
2540;-0.023;0.005;-0.004
2580;-0.019;0.004;-0.002
2620;-0.016;0.004;-0.003
2660;-0.018;0.005;-0.004
2700;-0.008;-0.003;-0.003
2740;-0.009;-0.001;-0.004
2780;-0.005;0.002;-0.006
2820;-0.005;0.008;-0.009
2860;-0.002;0.013;-0.009
2900;-0.008;0.021;-0.009
2940;-0.013;0.015;-0.005
2980;-0.035;0.010;-0.008
3020;-0.065;0.023;-0.011
3060;-0.104;0.017;-0.002
3100;-0.128;0.016;-0.007
3140;-0.177;0.015;-0.005
3180;-0.238;0.002;-0.015
3200;-0.254;0.015;-0.031
3240;-0.354;0.080;-0.039
3280;-0.462;0.093;-0.031
3320;-0.615;0.149;-0.044
3360;-0.842;0.024;-0.045
3400;-1.005;0.057;-0.084
3440;-1.122;0.104;-0.103
3480;-1.173;0.040;-0.135
3520;-1.200;0.013;-0.115
3560;-1.111;-0.029;-0.076
3600;-1.019;0.157;-0.106
3640;-1.009;0.203;-0.186
3680;-1.001;0.155;-0.249
3720;-0.877;0.029;-0.223
3760;-0.596;-0.015;-0.201
3800;-0.299;-0.013;-0.159
3840;0.034;-0.086;-0.129
3880;0.362;-0.219;-0.111
3920;0.734;-0.092;-0.107
3960;1.148;-0.237;-0.084
3980;1.338;-0.407;-0.035
4020;1.824;-0.703;0.087
4040;1.947;-0.693;0.099
4080;1.933;-0.575;0.059
4120;1.790;-0.211;0.272
4160;1.412;-0.123;0.015
4200;1.013;-0.068;-0.004
4240;0.676;-0.144;-0.093
4280;0.391;-0.279;-0.279
4320;0.646;-0.488;-0.301
4360;1.005;-0.410;-0.067
4400;0.424;0.000;0.062
4440;0.291;-0.252;0.130
4480;0.123;-0.106;0.142
4520;0.496;-0.170;0.215
4560;0.871;-0.477;0.198
4600;0.635;0.514;0.147
4620;0.255;0.798;-0.230
4660;-0.346;-0.269;-0.262
4700;0.205;-0.625;0.199
4740;0.480;-0.295;0.221
4780;0.374;0.074;0.035
4820;-0.258;-0.088;0.258
4860;-0.174;-0.070;0.329
4900;-0.062;0.089;0.250
4940;-0.087;0.131;0.194
4960;-0.002;0.183;0.136
5000;0.117;0.289;0.048
5040;0.120;0.520;-0.012
5060;0.088;0.567;-0.027
5100;0.054;0.541;-0.054
5140;-0.012;0.371;-0.147
5180;0.222;0.175;-0.205
5220;0.098;0.112;-0.016
5260;0.261;0.451;0.021
5300;-0.003;0.638;0.113
5320;-0.096;0.585;0.131
5360;-0.057;0.594;0.042
5400;0.037;0.222;-0.103
5420;0.097;0.169;-0.094
5460;0.241;0.237;-0.150
5500;0.265;0.078;-0.337
5540;0.098;-0.118;-0.299
5580;-0.182;-0.199;-0.028
5620;-0.075;-0.221;-0.012
5660;0.144;-0.234;-0.035
5700;0.130;-0.232;0.052
5740;0.134;-0.160;-0.026
5780;0.304;-0.297;0.084
5820;0.471;0.248;-0.203
5860;0.260;-0.021;-0.293
5900;0.001;-0.555;-0.125
5940;0.207;-0.169;-0.228
5980;0.059;0.265;0.018
6020;-0.291;0.144;0.143
6040;-0.147;0.093;0.162
6080;0.049;0.197;0.159
6120;-0.266;0.352;0.135
6140;-0.333;0.390;0.098
6180;-0.159;0.436;0.020
6220;-0.063;0.514;-0.058
6240;-0.145;0.574;-0.108
6280;-0.195;0.660;-0.159
6320;-0.093;0.693;-0.107
6360;-0.178;0.596;-0.094
6400;-0.101;0.518;-0.098
6420;-0.017;0.499;-0.018
6460;-0.051;0.369;0.037
6500;0.046;0.519;-0.070
6540;-0.056;0.886;-0.068
6580;-0.233;1.093;-0.016
6620;-0.301;0.963;-0.056
6660;-0.178;0.700;-0.045
6700;-0.139;0.522;-0.134
6740;-0.144;0.385;-0.285
6780;-0.155;0.280;-0.208
6820;-0.123;0.209;-0.150
6860;-0.043;0.280;-0.070
6900;0.001;0.351;-0.043
6940;0.074;0.385;0.017
6980;0.136;0.405;0.105
7020;0.216;0.414;0.148
7060;0.249;0.487;0.236
7100;0.243;0.510;0.245
7120;0.272;0.586;0.230
7160;0.362;0.652;0.177
7200;0.530;1.140;-0.184
7240;0.328;1.249;-0.065
7280;0.155;1.087;-0.027
7320;-0.105;0.938;-0.328
7360;0.001;1.556;-0.331
7400;-0.083;1.909;-0.127
7440;0.037;2.026;-0.086
7480;0.051;2.183;-0.163
7520;-0.071;2.444;-0.178
7560;0.001;2.305;-0.196
7600;0.078;2.131;-0.156
7640;-0.048;1.987;-0.153
7680;-0.008;2.056;-0.168
7720;-0.010;1.941;-0.195
7760;0.124;2.002;-0.233
7800;0.111;2.056;-0.368
7840;-0.086;2.062;-0.240
7860;0.012;1.957;-0.150
7900;0.112;2.099;-0.133
7940;-0.088;2.307;-0.187
7960;-0.127;2.312;-0.202
8000;-0.215;1.916;-0.178
