DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;0.051;0.002;-0.023
40;0.051;0.002;-0.023
80;0.036;-0.001;0.010
120;0.002;0.020;-0.012
160;-0.012;0.008;-0.026
200;-0.001;-0.026;-0.010
240;-0.003;-0.032;0.021
280;-0.010;-0.024;0.005
320;0.018;0.011;-0.019
360;0.005;0.013;-0.029
380;-0.003;-0.007;-0.027
420;-0.018;-0.027;-0.001
440;-0.042;-0.026;0.012
480;-0.028;-0.025;0.013
520;0.021;0.036;-0.031
560;0.007;0.032;-0.034
600;0.000;0.002;-0.007
640;0.024;-0.009;0.034
680;0.020;0.004;0.019
720;0.016;0.015;-0.003
760;0.013;0.018;-0.008
780;0.019;0.018;-0.008
820;0.026;0.001;0.015
840;0.009;0.001;0.025
880;0.007;-0.008;0.026
920;0.019;0.001;0.011
960;0.010;0.027;-0.002
1000;-0.007;0.020;0.007
1040;-0.015;0.010;0.010
1080;-0.005;0.009;0.021
1100;0.000;0.011;0.018
1140;-0.002;0.016;0.004
1160;-0.001;0.014;0.002
1200;0.004;0.014;0.005
1220;0.004;0.012;-0.001
1260;0.001;0.002;0.002
1300;-0.029;-0.027;0.010
1340;-0.009;-0.008;-0.002
1360;-0.004;-0.002;0.000
1400;-0.010;-0.002;-0.002
1440;-0.007;-0.007;-0.010
1480;-0.015;-0.036;0.002
1520;-0.001;-0.020;0.005
1560;-0.004;-0.013;0.007
1600;-0.014;0.001;-0.013
1640;-0.031;-0.017;-0.001
1680;-0.037;-0.020;0.009
1720;-0.004;-0.007;0.004
1760;-0.007;0.002;-0.002
1800;-0.004;0.004;-0.018
1820;-0.002;0.005;-0.016
1860;-0.020;0.006;-0.012
1900;-0.082;0.021;-0.015
1920;-0.126;-0.005;-0.016
1960;-0.211;-0.035;-0.038
2000;-0.231;-0.032;-0.058
2040;-0.205;-0.074;-0.051
2080;-0.145;-0.104;-0.004
2120;-0.060;-0.082;0.001
2160;-0.035;-0.038;-0.013
2200;-0.091;-0.003;-0.035
2240;-0.140;0.008;-0.021
2280;-0.133;-0.016;-0.020
2320;-0.130;-0.012;-0.013
2360;-0.122;-0.023;-0.012
2400;-0.073;-0.037;-0.001
2440;-0.030;-0.023;0.005
2480;-0.035;-0.016;0.011
2520;-0.081;0.016;0.011
2560;-0.229;-0.014;0.009
2600;-0.299;-0.067;0.025
2640;-0.300;-0.089;0.048
2680;-0.300;-0.047;0.088
2720;-0.291;-0.073;0.104
2760;-0.301;-0.051;0.098
2800;-0.396;-0.061;0.125
2840;-0.522;-0.043;0.119
2880;-0.653;0.027;0.056
2920;-0.637;0.048;0.013
2940;-0.622;0.040;-0.017
2980;-0.567;0.080;-0.062
3000;-0.494;0.095;-0.070
3040;-0.280;0.156;-0.075
3080;-0.108;-0.011;-0.021
3100;0.026;-0.076;-0.003
3140;0.279;-0.169;-0.042
3180;0.555;-0.200;-0.056
3220;0.760;-0.192;-0.023
3260;0.758;-0.153;-0.007
3300;0.768;-0.137;0.015
3340;0.808;-0.046;0.051
3380;0.670;0.142;0.158
3420;0.556;0.316;0.115
3460;0.739;0.649;-0.030
3500;0.558;0.495;-0.181
3540;0.139;0.367;-0.156
3580;0.045;0.199;-0.126
3620;0.511;0.065;-0.213
3660;0.441;0.021;-0.228
3700;0.161;-0.335;-0.064
3740;-0.104;-0.354;-0.076
3780;-0.079;-0.458;0.006
3820;0.385;-0.782;-0.202
3860;0.682;-0.987;-0.067
3900;0.497;-1.316;0.048
3940;0.722;-1.084;0.046
3980;0.848;-1.111;-0.013
4020;0.368;-0.541;0.096
4060;-0.062;-0.619;0.262
4100;0.100;-0.316;0.357
4140;0.459;-0.111;0.048
4180;0.546;0.429;-0.133
4220;0.563;0.513;-0.104
4260;0.162;0.807;0.009
4300;-0.192;1.208;0.170
4320;-0.351;0.819;0.125
4360;-0.434;0.849;-0.016
4400;-0.513;0.905;-0.108
4440;-0.646;0.506;-0.242
4480;0.257;0.345;-0.046
4500;0.188;0.600;0.097
4540;-0.449;0.795;0.250
4580;-0.831;-0.345;-0.045
4600;-0.834;-0.535;-0.149
4640;-0.059;0.302;-0.043
4680;0.365;-0.065;0.128
4720;0.657;-0.621;0.337
4760;0.610;-0.536;0.359
4800;0.351;-0.836;0.248
4840;0.616;-0.708;-0.277
4880;0.051;-0.448;-0.130
4920;-0.148;-1.170;0.076
4960;0.575;-0.858;-0.029
5000;1.016;-0.002;-0.120
5040;0.469;-0.035;0.031
5060;0.038;0.051;0.018
5100;-0.352;-0.187;-0.111
5140;0.134;0.186;0.026
5180;0.400;0.221;0.034
5220;0.203;0.282;-0.076
5240;0.218;0.592;-0.018
5280;-0.037;0.904;-0.108
5320;0.051;1.183;-0.302
5340;-0.115;1.665;-0.246
5380;0.076;2.597;-0.113
5420;-0.584;1.933;-0.117
5460;-0.968;1.897;-0.071
5500;-0.908;1.511;-0.263
5540;-0.341;1.312;-0.350
5580;-0.326;1.798;0.023
5620;-0.801;1.649;0.069
5660;-0.664;0.902;0.007
5700;0.016;1.141;0.041
5740;0.503;1.023;0.169
5780;0.605;0.509;0.215
5820;0.415;0.786;0.295
5860;0.804;0.678;-0.164
5900;0.297;1.583;-0.374
5940;-0.679;0.688;-0.178
5980;0.149;0.685;-0.241
6020;0.901;2.109;-0.418
6040;0.552;2.509;-0.283
6080;-0.346;2.082;-0.463
6120;-0.396;2.590;-0.574
6140;-0.019;2.756;-0.548
6180;0.312;2.819;-0.520
6220;0.074;2.557;-0.473
6260;-0.506;2.564;-0.346
6300;-0.376;2.558;-0.271
6340;-0.044;2.607;-0.461
6380;0.194;2.529;-0.553
6420;0.245;2.439;-0.637
6460;-0.026;3.119;-0.669
6500;-0.783;2.676;-0.946
6540;-0.904;2.632;-0.227
6580;-1.450;2.190;-0.038
6620;-1.172;1.878;-0.201
6640;-0.659;2.092;-0.175
6680;-0.686;2.459;0.155
6700;-0.968;2.173;0.208
6740;-1.025;1.550;0.054
6780;-0.290;1.612;-0.126
6820;0.297;1.666;0.177
6860;0.318;1.057;0.382
6900;0.393;0.823;0.297
6940;0.230;0.942;0.111
6980;-0.210;0.519;-0.087
7020;0.098;0.819;-0.190
7060;0.077;0.065;-0.075
7100;0.301;-0.390;-0.118
7140;0.779;0.585;-0.130
7180;0.795;0.572;0.023
7220;0.146;0.068;0.075
7260;-0.137;0.064;0.015
7300;0.239;0.231;0.054
7340;0.533;0.389;0.111
7380;0.271;0.430;0.100
7420;0.250;0.723;0.024
7460;-0.106;0.662;-0.102
7500;-0.282;1.304;-0.012
7540;-0.081;1.215;-0.074
7560;0.073;1.395;-0.014
7600;-0.190;1.288;0.005
7640;-0.874;1.026;-0.276
7680;-0.282;0.938;-0.352
7720;-0.140;1.469;-0.076
7740;-0.291;1.428;0.104
7780;-0.581;0.765;0.045
7820;-0.220;0.296;-0.229
7840;-0.049;0.431;-0.277
7880;0.297;0.405;-0.082
7920;0.669;-0.126;0.012
7960;0.701;-0.148;0.037
8000;0.108;-0.262;-0.031
8040;0.013;-0.324;-0.476
8080;-0.480;-0.575;-0.077
8120;-0.283;-1.090;0.112
8160;0.274;-0.863;-0.122
8180;0.767;-0.458;-0.214
8220;1.249;0.108;-0.012
8240;0.654;-0.153;0.164
8280;-0.605;-0.673;0.152
8320;-0.483;-0.319;0.207
8360;0.477;-0.095;0.119
8400;0.816;0.319;-0.034
8420;0.634;0.402;0.049
8460;0.197;0.512;0.167
8500;0.151;0.546;-0.163
8540;0.163;0.994;-0.364
8580;0.103;1.799;-0.199
8620;-0.649;1.510;-0.045
8660;-0.876;1.171;-0.064
8700;-0.927;0.859;-0.114
8740;-0.239;0.823;-0.191
8780;-0.158;1.327;-0.029
8820;-0.712;0.926;0.020
8860;-0.479;0.460;-0.053
8900;0.232;0.691;0.088
8920;0.465;0.690;0.188
8960;0.468;0.296;0.177
9000;0.241;0.305;0.026
9040;0.128;0.680;-0.001
9060;0.021;0.687;-0.221
9100;0.173;0.800;-0.655
9120;-0.221;0.861;-0.585
9160;-0.545;0.831;-0.177
9200;0.262;1.006;-0.148
9240;0.801;2.192;-0.302
9280;-0.392;2.255;-0.202
9320;-0.980;2.019;-0.374
9360;-0.802;2.527;-0.399
9400;0.092;3.521;-0.410
9440;0.202;3.620;-0.628
9460;-0.070;3.612;-0.686
9500;-0.566;3.487;-0.724
9540;-0.558;3.489;-0.787
9580;-0.899;3.746;-0.724
9620;-0.947;3.866;-0.749
9660;-1.097;2.778;-0.490
9700;-0.891;2.455;-0.151
9740;-0.684;2.290;-0.124
9780;-0.428;2.366;-0.247
9820;-0.133;2.777;-0.214
9840;-0.125;2.574;-0.221
9880;-0.746;1.743;-0.255
9920;-1.343;1.678;-0.168
9960;-1.356;1.598;-0.110
9980;-1.163;1.596;-0.055
10020;-1.077;1.567;0.067
10060;-1.243;1.183;0.055
10100;-1.454;1.020;0.043
10140;-1.306;0.691;0.117
10180;-0.922;0.415;0.426
10200;-0.752;0.403;0.515
10240;-0.603;0.367;0.581
10260;-0.660;0.246;0.544
10300;-0.286;-0.024;0.406
10340;0.038;0.236;0.397
10380;-0.282;-0.011;0.388
10420;-0.156;-0.100;0.232
10460;0.050;-0.018;0.054
10500;-0.136;-0.164;0.071
10520;-0.021;-0.372;-0.002
10560;0.125;-0.333;-0.030
10600;0.425;-0.115;0.009
10640;0.644;-0.145;-0.028
10680;0.723;0.111;-0.079
10720;0.936;0.183;-0.151
10760;1.059;0.122;-0.191
10800;1.166;0.103;-0.133
10840;0.902;0.159;-0.047
10880;0.483;0.087;-0.046
10920;0.332;0.090;-0.033
10960;0.243;0.029;0.004
11000;0.077;0.058;0.059
11040;0.067;0.038;0.100
11080;0.306;0.010;0.042
11120;0.188;-0.011;0.044
11160;0.261;-0.007;0.064
11200;0.205;-0.021;0.079
11220;0.253;-0.013;0.005
11260;0.224;-0.114;-0.066
11300;0.009;-0.128;-0.012
11320;-0.064;-0.138;0.010
11360;-0.049;-0.058;0.018
11400;-0.062;-0.024;0.015
11440;0.022;-0.071;-0.004
