DURACAO;AVL EIXO X;AVL EIXO Y;AVL EIXO Z
0;-0.040;-0.012;0.001
40;-0.040;-0.012;0.001
80;-0.012;-0.010;0.001
120;-0.001;-0.004;0.000
160;-0.004;-0.004;0.001
200;-0.006;-0.004;0.001
240;0.002;-0.005;-0.001
280;0.004;0.001;-0.003
320;0.001;-0.010;-0.005
360;0.010;-0.004;-0.002
400;0.007;-0.005;-0.001
420;0.005;-0.012;-0.001
460;0.007;-0.010;-0.006
500;0.004;-0.007;-0.007
540;0.002;-0.002;-0.007
580;0.005;-0.008;-0.004
620;0.008;-0.010;-0.004
640;0.005;-0.008;-0.006
680;-0.004;-0.004;-0.002
720;-0.001;0.001;-0.002
740;-0.002;0.003;0.000
780;-0.010;-0.002;-0.001
820;-0.007;0.009;0.001
860;-0.017;0.005;0.005
900;-0.023;0.007;0.012
940;-0.016;0.007;0.009
980;-0.020;0.001;0.012
1020;-0.019;0.001;0.010
1060;-0.023;0.006;0.013
1100;-0.020;0.005;0.007
1140;-0.020;-0.001;0.008
1180;-0.021;0.001;0.007
1220;-0.016;0.006;0.007
1260;-0.020;0.001;0.005
1300;-0.012;0.009;0.003
1340;-0.002;0.008;0.005
1380;-0.012;-0.002;0.002
1420;-0.021;-0.002;0.006
1460;-0.009;0.008;0.005
1500;-0.010;0.003;0.002
1540;-0.005;-0.002;0.004
1580;0.001;0.002;0.004
1620;-0.001;0.001;0.002
1660;0.003;-0.004;0.002
1700;0.005;-0.002;0.002
1740;0.002;-0.002;0.001
1780;0.002;-0.001;0.002
1820;0.004;0.001;0.001
1860;0.002;0.001;0.001
1900;0.002;-0.001;0.000
1940;0.003;-0.002;0.000
1980;0.007;-0.007;0.000
2020;0.005;-0.005;-0.001
2060;0.005;-0.005;-0.002
2100;0.004;-0.005;0.001
2140;0.006;-0.004;0.001
2180;0.010;0.002;-0.001
2220;0.002;-0.002;0.001
2260;0.010;-0.001;-0.001
2300;0.007;0.002;0.001
2320;0.007;0.001;0.002
2360;0.003;0.000;-0.001
2400;0.003;0.000;-0.001
2440;0.003;0.002;-0.001
2460;0.002;0.001;-0.001
2500;-0.004;-0.002;0.000
2540;-0.002;0.001;0.001
2580;-0.004;0.000;0.001
2620;-0.007;-0.004;0.002
2660;-0.009;0.001;0.002
2700;-0.009;0.001;0.002
2740;-0.009;0.001;0.005
2780;-0.009;-0.001;0.003
2820;-0.012;0.002;0.004
2860;-0.009;0.002;0.003
2900;-0.008;-0.002;0.002
2940;-0.009;-0.003;0.002
2980;-0.008;0.000;0.003
3020;-0.009;0.003;0.003
3060;-0.007;-0.002;0.003
3100;-0.006;0.002;0.002
3140;-0.005;-0.002;0.001
3180;-0.007;-0.001;0.000
3220;-0.002;0.002;0.001
3240;-0.007;-0.001;0.001
3280;-0.003;-0.004;0.000
3320;-0.005;-0.002;0.001
3360;-0.003;0.000;0.001
3400;-0.004;0.001;0.000
3440;-0.009;-0.002;0.001
3460;-0.004;0.000;0.001
3500;-0.006;-0.002;0.001
3540;-0.008;-0.002;0.001
3580;-0.007;-0.001;0.002
3620;-0.007;-0.001;0.001
3640;-0.009;-0.002;0.001
3680;-0.009;-0.001;0.001
3720;-0.007;0.002;0.001
3760;-0.011;-0.001;0.002
3800;-0.012;-0.008;0.002
3840;-0.019;-0.018;0.008
3880;-0.032;-0.004;0.005
3920;-0.048;0.015;0.004
3960;-0.065;0.010;0.006
3980;-0.072;0.002;0.009
4020;-0.098;0.023;0.012
4060;-0.133;0.027;0.008
4080;-0.170;0.029;0.012
4120;-0.228;0.031;0.006
4160;-0.291;0.032;0.013
4200;-0.380;0.013;0.010
4240;-0.445;0.002;0.001
4280;-0.536;0.016;0.016
4320;-0.629;0.004;0.017
4360;-0.704;0.033;0.035
4400;-0.784;0.005;0.048
4440;-0.809;0.001;0.076
4480;-0.837;0.030;0.120
4520;-0.723;0.078;0.133
4560;-0.605;0.116;0.100
4600;-0.480;0.054;0.067
4640;-0.354;0.010;0.059
4680;-0.189;0.016;0.066
4720;-0.035;0.009;0.026
4760;0.038;0.028;0.018
4800;0.097;0.068;0.023
4840;0.177;0.105;0.016
4880;0.267;0.128;0.013
4920;0.381;0.153;0.010
4960;0.467;0.141;0.041
5000;0.561;0.179;0.013
5040;0.599;0.186;-0.024
5060;0.635;0.118;0.001
5100;0.676;-0.092;0.059
5140;0.706;-0.173;0.101
5180;0.610;0.052;0.058
5220;0.411;0.214;0.009
5260;0.277;0.272;0.004
5300;0.203;0.242;-0.012
5340;0.250;0.207;-0.032
5380;0.290;0.306;-0.103
5420;0.301;0.426;-0.122
5460;0.202;0.522;-0.151
5500;0.111;0.508;-0.144
5540;0.178;0.380;-0.070
5580;0.172;0.112;0.172
5620;0.436;-0.147;0.406
5660;0.381;-0.092;0.237
5700;0.181;0.108;0.021
5740;0.027;0.147;-0.061
5780;-0.047;-0.206;-0.016
5820;-0.014;-0.372;-0.140
5860;0.051;-0.397;-0.200
5900;0.012;-0.264;-0.100
5940;-0.098;-0.202;0.001
5980;-0.107;-0.164;0.030
6020;-0.062;-0.272;0.058
6040;-0.010;-0.374;0.089
6080;0.121;-0.608;0.128
6120;0.169;-0.603;0.037
6160;0.124;-0.413;0.001
6200;0.171;-0.181;-0.037
6240;0.196;-0.002;-0.330
6280;0.356;0.120;-0.344
6320;0.255;-0.354;-0.158
6360;-0.074;-0.508;-0.067
